township_id,annual_precipitation_mm
T001R01W4,356
T001R02W4,343
T001R03W4,332
T001R04W4,330
T001R05W4,346
T001R06W4,345
T001R07W4,349
T001R08W4,353
T001R09W4,355
T001R10W4,383
T001R11W4,386
T001R12W4,388
T001R13W4,392
T001R14W4,386
T001R15W4,379
T001R16W4,396
T001R17W4,423
T001R18W4,452
T001R19W4,459
T001R20W4,451
T001R21W4,435
T001R22W4,430
T001R23W4,458
T001R24W4,513
T001R25W4,542
T001R26W4,562
T001R27W4,653
T002R01W4,322
T002R02W4,328
T002R03W4,326
T002R04W4,322
T002R05W4,328
T002R06W4,339
T002R07W4,349
T002R08W4,357
T002R09W4,365
T002R10W4,378
T002R11W4,386
T002R12W4,392
T002R13W4,396
T002R14W4,391
T002R15W4,379
T002R16W4,396
T002R17W4,417
T002R18W4,444
T002R19W4,463
T002R20W4,471
T002R21W4,464
T002R22W4,464
T002R23W4,477
T002R24W4,509
T002R25W4,511
T002R26W4,583
T002R27W4,681
T002R28W4,694
T003R01W4,301
T003R01W5,1127
T003R02W4,314
T003R03W4,327
T003R04W4,329
T003R05W4,333
T003R06W4,344
T003R07W4,352
T003R08W4,358
T003R09W4,366
T003R10W4,372
T003R11W4,380
T003R12W4,388
T003R13W4,392
T003R14W4,388
T003R15W4,387
T003R16W4,399
T003R17W4,429
T003R18W4,450
T003R19W4,462
T003R20W4,488
T003R21W4,492
T003R22W4,491
T003R23W4,499
T003R24W4,502
T003R25W4,504
T003R26W4,593
T003R27W4,654
T003R28W4,675
T003R29W4,767
T004R01W4,312
T004R01W5,913
T004R02W4,324
T004R02W5,864
T004R03W4,342
T004R03W5,913
T004R04W4,347
T004R05W4,347
T004R06W4,349
T004R07W4,361
T004R08W4,360
T004R09W4,365
T004R10W4,372
T004R11W4,376
T004R12W4,380
T004R13W4,385
T004R14W4,385
T004R15W4,392
T004R16W4,411
T004R17W4,436
T004R18W4,450
T004R19W4,457
T004R20W4,476
T004R21W4,481
T004R22W4,486
T004R23W4,494
T004R24W4,511
T004R25W4,538
T004R26W4,591
T004R27W4,634
T004R28W4,679
T004R29W4,757
T004R30W4,851
T005R01W4,346
T005R01W5,654
T005R02W4,364
T005R02W5,673
T005R03W4,387
T005R03W5,743
T005R04W4,380
T005R05W4,367
T005R06W4,362
T005R07W4,365
T005R08W4,366
T005R09W4,369
T005R10W4,375
T005R11W4,376
T005R12W4,375
T005R13W4,377
T005R14W4,382
T005R15W4,392
T005R16W4,406
T005R17W4,426
T005R18W4,443
T005R19W4,448
T005R20W4,446
T005R21W4,442
T005R22W4,442
T005R23W4,457
T005R24W4,482
T005R25W4,524
T005R26W4,569
T005R27W4,613
T005R28W4,640
T005R29W4,650
T005R30W4,648
T006R01W4,409
T006R01W5,600
T006R02W4,430
T006R02W5,684
T006R03W4,434
T006R03W5,654
T006R04W4,428
T006R04W5,743
T006R05W4,394
T006R06W4,378
T006R07W4,374
T006R08W4,371
T006R09W4,371
T006R10W4,376
T006R11W4,379
T006R12W4,373
T006R13W4,375
T006R14W4,377
T006R15W4,380
T006R16W4,390
T006R17W4,403
T006R18W4,417
T006R19W4,416
T006R20W4,402
T006R21W4,393
T006R22W4,396
T006R23W4,411
T006R24W4,431
T006R25W4,462
T006R26W4,499
T006R27W4,539
T006R28W4,550
T006R29W4,554
T006R30W4,541
T007R01W4,450
T007R01W5,540
T007R02W4,463
T007R02W5,582
T007R03W4,445
T007R03W5,610
T007R04W4,443
T007R04W5,675
T007R05W4,416
T007R06W4,392
T007R07W4,372
T007R08W4,366
T007R09W4,365
T007R10W4,371
T007R11W4,374
T007R12W4,371
T007R13W4,370
T007R14W4,369
T007R15W4,368
T007R16W4,372
T007R17W4,380
T007R18W4,389
T007R19W4,385
T007R20W4,376
T007R21W4,379
T007R22W4,382
T007R23W4,389
T007R24W4,405
T007R25W4,419
T007R26W4,449
T007R27W4,477
T007R28W4,489
T007R29W4,496
T007R30W4,518
T008R01W4,478
T008R01W5,496
T008R02W4,469
T008R02W5,567
T008R03W4,450
T008R03W5,597
T008R04W4,447
T008R04W5,599
T008R05W4,427
T008R06W4,391
T008R07W4,370
T008R08W4,360
T008R09W4,355
T008R10W4,353
T008R11W4,352
T008R12W4,353
T008R13W4,357
T008R14W4,363
T008R15W4,364
T008R16W4,368
T008R17W4,370
T008R18W4,373
T008R19W4,373
T008R20W4,368
T008R21W4,379
T008R22W4,379
T008R23W4,386
T008R24W4,397
T008R25W4,410
T008R26W4,434
T008R27W4,460
T008R28W4,472
T008R29W4,473
T008R30W4,492
T009R01W4,460
T009R01W5,504
T009R02W4,460
T009R02W5,570
T009R03W4,442
T009R03W5,606
T009R04W4,434
T009R04W5,608
T009R05W4,402
T009R06W4,373
T009R07W4,356
T009R08W4,346
T009R09W4,339
T009R10W4,338
T009R11W4,339
T009R12W4,342
T009R13W4,342
T009R14W4,351
T009R15W4,362
T009R16W4,375
T009R17W4,363
T009R18W4,360
T009R19W4,364
T009R20W4,363
T009R21W4,360
T009R22W4,371
T009R23W4,395
T009R24W4,404
T009R25W4,407
T009R26W4,432
T009R27W4,464
T009R28W4,494
T009R29W4,508
T009R30W4,508
T010R01W4,431
T010R01W5,577
T010R02W4,422
T010R02W5,556
